Gene,Chr,Gene Start,Gene End,Gene Score,Gene ReScore
PI4KB,1,149554672,149566757,2954.3983842,2372.3146556081197
IRS1,2,227367969,227371698,2277.3480316600003,2371.4814123849055
EXTL3,8,28615071,28667121,2789.4632610464287,2371.043771889464
RUNX3,1,25128664,25164199,4421.043051225807,2369.2915231787088
SERPINA5,14,94117574,94124071,2379.31231393617,2368.0541553304215
GNG11,7,93388951,93393762,3868.3944825499993,2366.623692879363
FAM172A,5,93242773,93473065,2347.567973705882,2366.239378571675
CD53,1,111217300,111244081,2283.0918866888887,2365.8558909699973
BPGM,7,133996730,134015107,2333.868901572,2364.5837587844535
TMEM179B,11,62311449,62314448,3147.5754792300004,2363.637391740538
NDUFB6,9,32543522,32563182,3112.987304623529,2362.079570147777
PPM1H,12,61612698,61615182,3175.700322455555,2361.856871877791
MAK,6,10899893,10946746,2697.4707949800004,2360.12225521916
AARS2,6,44374440,44389041,4226.073204769565,2357.4765319497506
CTSG,14,24112563,24115306,4142.2063584,2357.4276184538458
GABRR1,6,89944690,89983779,2721.208164518518,2356.1497370413426
UBXN2B,8,59509507,59526614,2734.724911285714,2355.527184378066
CLEC2B,12,9896234,9913725,4012.4405105200008,2353.671146986927
XPO6,16,28016816,28130691,2432.089657833333,2352.6335302635653
MYO1C,17,1314229,1342751,2460.603596425,2352.218365851567
ZMAT3,3,180224218,180272278,4553.83734425,2349.276142743257
CDH22,20,44271874,44282895,2758.807458364285,2347.0630500257744
MYL12A,18,3242272,3246234,2688.4833184733334,2342.2892885192414
FAM83F,22,38720898,38755989,3324.1969332,2341.965252681168
FBXO28,1,222368435,222413869,2716.1103821428574,2340.422304755593
IL17RC,3,9945711,9950314,3602.372277725,2336.7269419794916
TRAF5,1,209586328,209614909,2257.0698289750003,2335.8550616769385
GRAMD1B,11,122983726,122998728,2384.089262065789,2335.842556430467
VSIG2,11,124123213,124127319,2308.9434106555555,2333.1903563350197
PELO,5,52119530,52156801,2635.8612948934783,2330.927506174754
C1orf56,1,149286882,149290495,4497.862385791666,2328.9165664418556
TRMU,22,45109961,45131901,2544.030220511764,2328.821814860315
OR2W3,1,246150942,246151881,2724.9176795533335,2328.06104581
ZNF644,1,91176416,91259618,2275.4728564966667,2327.735372399144
OR13C4,9,106328354,106329311,2845.8273990095236,2326.42924241599
PICK1,22,36783698,36801654,2986.97079841875,2323.4711861100923
ADPGK,15,70861517,70863720,3435.3292519000006,2323.2711708037236
BFSP1,20,17422549,17487605,2993.362729145454,2321.0802507789085
PHYH,10,13359801,13384418,3248.4590677500005,2319.7364786800554
GPR132,14,104592768,104602799,3113.244201971428,2317.367736159874
ARRDC1,9,139628304,139629633,3171.8441716000007,2316.970699066759
CKS2,9,91115932,91121438,2616.50363398125,2315.014871572094
DNAJC15,13,42495361,42581306,3111.334500695652,2314.4871311621387
TDRD12,19,37998193,38012323,2490.193491226316,2312.9033622281986
MEGF8,19,47565522,47574761,4984.374284933334,2312.801703014166
HELZ,17,62627193,62671781,3127.786276435294,2311.8087219866484
DEPDC5,22,30571003,30633001,4108.372929088236,2310.206834593174
APOA2,1,159458706,159460042,3232.1803040428576,2309.6618461609155
SLC25A38,3,39399818,39413823,5057.71858743125,2309.6353090737402
FAM13A,4,90129797,90197346,2413.4512639095237,2309.1667233273115
MTDH,8,98772355,98807713,4926.941303093334,2307.8359040948194
GOLGA8A,15,32458561,32487228,2987.3753810333333,2305.731577964629
ETV4,17,38966080,38978280,2306.99010319375,2303.439991326639
RRAGA,9,19039371,19041021,4194.62484493,2303.406886287671
HAVCR1,5,156389108,156418065,2302.335517974074,2302.9381884247387
YWHAQ,2,9641556,9688557,2598.1658617199996,2299.923122226244
TAGLN3,3,113200696,113215425,3277.235633666667,2299.7089475298008
SCG2,2,224170390,224172244,2292.6835399,2296.835378896385
CR2,1,205710964,205713147,3186.1931851578947,2295.9417262003076
CTXN1,19,7896174,7896423,3343.9927690000004,2292.3505529463823
MAP2K3,17,21135373,21159144,2240.1869880000004,2291.556214840889
TMEM107,17,8017784,8020439,5101.29918259,2291.4911725843513
ESRP1,8,95727571,95788870,3122.0343962888887,2290.706534651003
LGALS8,1,234755890,234779619,2249.978527513207,2284.331103128318
SLC38A4,12,45459660,45506002,2551.7606866818182,2283.7878490569924
RTP2,3,188898740,188903039,2693.9307801545456,2282.749062038312
MTX2,2,176842382,176910999,2836.295494217391,2279.96775499676
TBC1D19,4,26194643,26366015,2939.9509900150006,2278.7363061629626
BNIP1,5,172504050,172523996,2659.0248317388887,2276.3762781063897
C3orf20,3,14730517,14789544,2123.0503822,2275.128478200726
ZEB2,2,144985427,144994401,2374.43533015,2268.2532427945052
ZDHHC13,11,19095267,19154543,2999.775888366667,2266.2856842319197
TULP2,19,54076033,54093750,3648.1762501166663,2265.0030789408574
EIF2AK3,2,88637373,88708109,2643.8967482200005,2263.4579935137804
MRPL40,22,17800101,17803596,3291.657304371428,2259.6938474036137
GKN1,2,69055208,69061616,2479.550740952381,2258.960037681947
PRDM9,5,23543480,23564463,2398.0717894,2256.708382569572
KLF5,13,72531142,72549677,2261.853822626667,2255.1877086953036
NTHL1,16,2029816,2037868,3046.7604317647056,2255.073896257516
GDF9,5,132224776,132228376,3155.53296670625,2254.3225293597984
STAU2,8,74727057,74821611,3894.2620693500003,2254.1198692461326
IL20,1,205105790,205109191,3508.2898534666665,2254.023025507493
ANGPTL5,11,101266614,101292463,2578.92804875,2252.876113055328
FADS1,11,61323676,61340886,3570.2416315799996,2252.8184761945
MTRF1L,6,153350092,153365618,2369.6116613,2249.049438093291
C9orf152,9,112001666,112010234,2877.08957365,2248.3739488085444
KIAA1614,1,179164188,179186545,2599.513983196,2247.4208390599365
OSBPL5,11,3104278,3107066,3496.2202405000003,2245.2644667333584
SLC38A2,12,45038237,45052814,2466.1711752437504,2242.9647415427867
ACD,16,66248915,66252219,3325.9040108125005,2242.190946602776
PSMD13,11,238766,242984,2790.8471361567567,2240.9270253304285
ZNF775,7,149707338,149726652,2378.0478613666664,2240.375531776376
C20orf27,20,3682157,3696452,3804.7401511888893,2239.463696137917
RHBDL2,1,39153763,39180043,2107.9761015238096,2237.711454094671
PBLD,10,69716790,69736666,2280.3036847809526,2236.0801816477565
C16orf74,16,84298624,84342190,2287.8222840199996,2229.270984365976
SLC45A4,8,142290051,142333407,2524.2916865075,2226.773597244333
MAP2,2,210226110,210307079,2638.4671308863635,2226.110551886212
LIF,22,28966442,28972748,4961.943560363637,2225.05392061797
POLR2A,17,7328573,7358655,2442.5836528757573,2224.6504753594527
TAF5,10,105117713,105138812,2234.4140057,2223.414447549635
MATN1,1,30959680,30964686,2602.9316584761905,2223.043148600502
CATSPER1,11,65540798,65550560,2100.4616786214287,2222.816243231398
SEC24A,5,134012377,134091500,6069.943395822223,2222.808920612524
SLC36A1,5,150807355,150852133,2452.0600645060003,2221.644050656831
STBD1,4,77446832,77451307,3180.6353602833333,2219.2905275844696
MRAP,21,32593031,32606470,2512.674161985,2218.7173978649766
CD47,3,109244630,109292625,2647.159063776191,2217.2792079810088
TGFB1,19,46528490,46551656,2864.295107869565,2216.746085815065
TLX1,10,102880251,102887526,3398.5087025117646,2215.965545401486
PRPSAP1,17,71818609,71861526,3363.4368287499997,2215.1939173306505
SUGT1,13,52125001,52160434,3139.4253582250003,2215.1657389238944
SLC11A1,2,218959601,218969861,2468.920551089474,2214.8263883099935
PCBD1,10,72313272,72318547,2548.9671631478263,2211.9915829382862
KISS1,1,202426091,202432242,2582.8701515117646,2206.7259405265704
CTNNBL1,20,35839088,35933934,2235.948006283333,2205.940157180168
HIC1,17,1906734,1908879,2937.4377845090903,2204.234642955358
GPSM2,1,109221125,109274567,2170.9054780156252,2202.6335384451477
MUC17,7,100450083,100488860,2635.042035257895,2201.006470853262
RPUSD1,16,774974,778384,2204.2287293,2200.499132288735
TCF7L2,10,114908415,114916060,2531.9542202066664,2200.185416161393
TMEM223,11,62314362,62316062,3934.4693490375003,2199.038099690624
CSNK2A1,20,411337,472482,4253.239366886956,2196.833845655411
KRT86,12,50981915,50989214,2653.6101479727276,2196.28233955383
MACF1,1,39706873,39725241,3073.832510594444,2194.8541130274325
SLC9A3R2,16,2023279,2028481,3699.6376671428566,2193.690844244414
RAB3B,1,52157422,52228936,2140.1920642607142,2193.6314303862937
ZNF682,19,19976226,20011277,3987.5648092172423,2192.801897442129
DCUN1D5,11,102438030,102468079,2214.3354640333337,2191.029995240164
MT1F,16,55249355,55250713,2293.45937475,2190.0353397332065
PEMT,17,17349601,17435719,2441.4785354528303,2188.03240044457
KPNA4,3,161700655,161766070,2238.7193039714284,2187.926223609806
MAP3K6,1,27557233,27560945,3366.0438266000006,2186.924920660611
PTPN1,20,48560297,48634493,3163.4557010952385,2183.949981779868
UGP2,2,63922517,63972200,2193.6114037290326,2183.3460929713883
TRPC1,3,143925955,144009419,2360.6802670285715,2182.800533330907
CSN3,4,71142921,71151734,2481.8268444357136,2179.3007160894067
DPF1,19,43394194,43412194,2117.44184315625,2178.4349249660113
SHMT2,12,55910433,55914981,2986.2895335,2177.325736394187
MYOC,1,169871179,169888396,2383.95737775,2176.007415390665
CTH,1,70649542,70677841,3400.0846020304343,2175.0316940552752
TMEM209,7,129628340,129632574,3343.026245371428,2174.690587583706
UTP20,12,100198035,100304528,2271.4906012867923,2174.192515586832
ATG12,5,115193714,115205419,2932.270225,2174.1844485290158
SATB1,3,18364437,18455208,2649.7066291428573,2172.2811716047995
NVL,1,222481658,222584495,2176.4077328842104,2168.904706285708
UNC13B,9,35343684,35356990,2890.795697281818,2168.6451985273543
C1orf105,1,170656452,170704589,3086.340638911111,2167.4980241735148
SHF,15,43250155,43267442,2183.127238773684,2167.4337233010847
SALL2,14,21059312,21075177,3184.003277495238,2167.378227400905
ZSCAN4,19,62872114,62882317,2291.5559289999997,2167.1140628361118
LEAP2,5,132237256,132238481,2896.282517772222,2165.6746421584285
KRTAP3-1,17,36418299,36418892,3922.383460641177,2163.4291281911155
RHOV,15,38952193,38953731,3140.0741819571435,2163.08390925265
TIAM2,6,155579788,155620549,2320.9709761510203,2161.3328760289355
NIPSNAP3A,9,106549789,106562224,3045.778466219047,2159.9728366394565
TSSK2,22,17498789,17500136,2340.946605263158,2158.2725093684103
KLHL11,17,37263324,37275155,2906.3753313833336,2154.6971831268233
CALCRL,2,187916093,188021266,3142.6038487380947,2152.776586332676
MMD2,7,4912145,4965370,2927.9517539648646,2152.4123830133863
ADAMTS7,15,76850022,76890828,2244.753812145,2151.467469347086
NME4,16,387192,390755,3314.9702122642852,2150.202566297764
RAP1GAP,1,21816385,21821598,2516.408079334782,2150.050309372756
GLO1,6,38751679,38778930,2518.9285474,2150.0227355352054
IL7,8,79807844,79880313,5701.163587407407,2148.517377440811
ETV7,6,36441948,36463445,2193.7911001999996,2146.6742233318537
RCBTB2,13,47971757,48005317,2216.8078553399996,2144.366866958696
CCL15,17,31348776,31353125,3045.888055805264,2143.802003437758
PPM1B,2,44249503,44325026,2242.9016068333335,2143.3070796147385
ARHGAP17,16,24873424,24934176,3559.062174942857,2141.8883186617677
POLQ,3,122632962,122747543,2292.688760320833,2140.314381219869
TLE3,15,68145406,68154000,2757.704010555,2136.511424613906
BAZ2A,12,55275646,55316430,5091.580847166666,2134.841261844476
MMP13,11,102318933,102331672,2684.0167264083334,2129.735977347749
OR2AG2,11,6745813,6746764,2143.56482900625,2128.8685067917245
RSPRY1,16,55777758,55796682,2909.140311923529,2127.0898090305122
HOXD11,2,176680329,176682562,2191.3963853736836,2126.541410421909
RNF186,1,20013108,20014358,2500.938059332143,2125.7973504323213
SIGLEC9,19,56319976,56325379,5213.446351099999,2124.128523588506
RAB4B,19,45976791,45994687,2866.0110375,2122.7947860570207
KHDC1,6,74040582,74076659,2271.952204686667,2121.946572850878
SYNPO2,4,120164032,120201850,2234.0766862,2118.5680993392643
CLCA1,1,86706982,86738562,2902.971617,2116.2877095003437
LENG8,19,59652211,59665008,4003.75597905,2115.776384784512
ADCYAP1,18,895296,902173,3561.781132827273,2114.7969258635217
KLK10,19,56207811,56215243,3394.8668141049993,2114.188083528838
NPM1,5,170747402,170770493,3368.113836947826,2111.5393777148383
MORF4L1,15,76952226,76977129,3241.0954268727273,2109.986266326373
NBEA,13,35065142,35144873,2861.0100513050847,2109.6448746945757
RNF123,3,49711904,49733966,2056.1870861409093,2109.4096643466805
ZNF25,10,38278800,38305459,2223.074998026316,2108.527434040928
SSTR2,17,68677053,68678163,3138.6924111399994,2100.930876624865
ISCA1,9,88069282,88087310,3338.9394016333335,2097.96736300742
LHFPL4,3,9515044,9570486,3093.7884393000004,2097.7379842679807
RCAN3,1,24713390,24735014,2597.8223580291665,2096.99726666225
PCNT,21,46578738,46594162,2181.5512212,2094.8200706025127
USP50,15,48580050,48626194,3599.2797004233335,2094.7185495893596
RC3H2,9,124692270,124699676,4452.851917366667,2093.419007538515
HNMT,2,138438277,138490404,3543.4852914897956,2091.785661138813
LMCD1,3,8518510,8584806,3297.4413205774645,2090.194773684499
RBM15B,3,51403770,51410376,3256.2555289727275,2089.617103531916
MRPL32,7,42938526,42943978,2095.7797069083335,2089.236777032098
KRT81,12,50965963,50988422,2279.213326221952,2087.8324835914323
BCKDK,16,31027162,31031613,4548.907660700001,2087.449263322238
DHRS2,14,23175412,23184688,2371.918138140909,2087.096817645353
NUFIP1,13,44411383,44461613,2362.813513281481,2085.699480520949
GAB4,22,15826991,15869112,3630.0927123500005,2085.648981821613
BCL2L13,22,16569550,16591989,2376.3334751650004,2083.1562748550336
RADIL,7,4803212,4889861,2860.6414617857145,2081.946366211947
LMTK2,7,97574132,97673537,2007.6553964054544,2080.6755972246415
UEVLD,11,18509819,18566857,3049.495405852381,2080.2537840917475
RIPK3,14,23875066,23879082,2061.608323682143,2078.166672022263
RPP14,3,58267013,58280960,2417.583029588235,2077.127269218892
STAT2,12,55028579,55036629,3588.425401426667,2075.747135489837
INTS10,8,19719197,19753866,2728.66802988,2074.898368197966
OGN,9,94186069,94206758,2060.87179688,2074.7637891253034
CCNL1,3,158349541,158361176,2808.5094758157893,2071.069654832467
RUVBL1,3,129282492,129325332,3599.3708428294112,2070.414464759204
ST6GAL1,3,188222358,188279035,3193.2792195416673,2070.351779282388
MOV10,1,113018992,113044882,2512.2419111400004,2069.5471183092413
RPAIN,17,5263684,5276920,2281.5692639458334,2065.737489270952
TNFRSF25,1,6446757,6448842,2464.696406358333,2064.8409386259327
GPBP1L1,1,45865567,45924868,2394.673477969697,2064.66662623822
IMMT,2,86247141,86276404,2377.3311481064516,2063.5436122501833
CRK,17,1272207,1306294,2460.603596425,2063.3778558694607
TAL2,9,107464598,107464925,2128.4378565,2058.94499348486
KCNK16,6,39390575,39398294,2705.7700112039997,2058.7334945298853
FUT6,19,5782498,5783578,3914.820729105,2058.7226237303075
SNRPA1,15,99639237,99652983,2013.1318467764704,2058.1106532827152
BPNT1,1,218297723,218329814,2127.8017683,2057.7108808061676
EPN2,17,19157028,19180620,3229.871386485714,2057.5678081007045
PLXNA2,1,206449972,206458718,2217.9867755190476,2056.3266847138866
B3GNT3,19,17766918,17785385,3200.356618642857,2055.6465492554266
CDK10,16,88288756,88290263,3248.417304383333,2055.4796474293894
WFDC12,20,43185480,43186520,2005.1114378749999,2054.5425549026845
SLC6A20,3,45774415,45788835,2435.328478924138,2051.3770006282525
SEC14L1,17,72716522,72723508,2663.8163079937503,2049.557794514198
SPINT1,15,38923934,38937145,2588.3431178799997,2049.2381802195628
ART1,11,3622936,3642222,2412.8877899148147,2046.1321863273172
SLAIN2,4,48079284,48082438,2055.2230032285715,2046.1281056551047
TANK,2,161725184,161800928,2523.1364915774193,2044.885076990334
PPIL6,6,109866852,109868683,4139.093381299999,2040.737089615043
DLGAP3,1,35103623,35143571,2358.295687268182,2037.5609505931068
PRPF8,17,1500672,1534926,2828.5384028086955,2034.1390070750344
ALDH2,12,110688728,110732167,3278.4660467,2034.0229445018085
PACSIN2,22,41596880,41741095,1953.3302636436777,2028.2443370438511
ZRANB1,10,126620681,126665995,1962.35619125,2027.9208033526788
GOLGA7B,10,99599985,99617772,2001.597787570588,2024.546250830252
EGFR,7,55200466,55201340,3224.967174,2023.8886637180271
TRIB1,8,126515124,126519826,2380.0878411999997,2023.0746650199997
DMRT3,9,966963,981732,3637.9233436000004,2022.649290402786
ACCS,11,44044387,44062145,2263.5759648821427,2022.4151506079454
LAMC2,1,181421796,181480885,2787.8658122714282,2021.2952838288231
WDR53,3,197765455,197779810,3139.6003958647057,2017.8763188872144
DUS3L,19,5736393,5742190,3720.9823272266667,2016.8893641705554
DAD1,14,22103646,22127983,2355.9986195652173,2016.3805159309964
SGTA,19,2705711,2734354,2239.2217901925924,2012.0870858939359
ANKRD10,13,110349120,110352716,2893.7732354916666,2010.7951969129622
KCNN4,19,48970183,48977249,2095.4351591333334,2009.757433761467
YME1L1,10,27474353,27483327,2361.727334292857,2007.4682341489283
RELB,19,50196551,50233292,2848.5509671357145,2005.23362751173
NEB,2,152253982,152271757,3378.127360688889,2002.3921566146344
GNE,9,36204438,36267041,1938.946519128125,2001.5382632602789
ADA,20,42681576,42713790,2057.837688291667,2000.0260623322868
LRP12,8,105585662,105670344,2138.5955104150003,1998.4693330511939
MANSC1,12,12373484,12394436,2382.080749947826,1996.9581349148423
OR13C8,9,106371269,106372232,2198.235686183333,1995.842247862888
DVL2,17,7073329,7078587,3456.2237854999994,1995.3489462732227
USP34,2,61307430,61360987,2001.1334772,1995.2530382290263
MYH6,14,22938760,22947322,2279.1738108413792,1994.6221024526317
GABRB3,15,24411538,24425418,2056.628042207143,1991.5535635551498
PUM2,2,20311933,20413944,2820.7474492108113,1988.953210703752
MLEC,12,119609331,119624050,2190.0643537842107,1987.9407050981104
CYP26B1,2,72209874,72228471,2308.4951505199997,1987.318766166467
CYFIP2,5,156742841,156755184,2660.4621876083334,1986.8520465115973
UTP14C,13,51500941,51503242,3292.928103957143,1986.166826398893
PRKCB,16,24135862,24139431,2117.5849301454546,1985.5834607580953
KPNA5,6,117109059,117169723,1911.0498953,1984.6578921911146
PIGG,4,483077,506631,2790.215747420833,1983.6519619485496
CCT6A,7,56086871,56099176,1916.3234695090907,1981.7465776798379
HPCAL4,1,39917231,39929676,3653.5428427333336,1978.7097015212946
ATP6V1E1,22,16454902,16491588,3344.341232090625,1978.3292945283486
PUS7,7,104884236,104949921,1981.8034635666666,1977.7348054362442
GCNT3,15,57697729,57699046,2395.491027511111,1976.3745425014629
MIER3,5,56278509,56303259,2030.581291074074,1971.5741334255263
MT1M,16,55224034,55225399,2170.2829428312502,1969.8609637191364
EIF4G2,11,10781602,10786619,2364.2633401562503,1969.1153156406265
PLCZ1,12,18727382,18782185,3028.2800521365853,1968.901615712188
CTDSPL,3,37970911,38000964,4150.570339968,1968.5490544286686
HSPB1,7,75770829,75771546,2865.7946273272723,1965.3582701776645
DUSP8,11,1531856,1549726,1965.307469161111,1964.8715544838208
ITPR2,12,26765486,26877398,3246.6553223448277,1964.024696220261
SERPINB9,6,2844245,2845908,1899.9491924400002,1961.490864371524
EDN3,20,57308893,57334442,2805.5794459333333,1961.3758064228543
MRPL21,11,68415321,68427879,2532.623030692857,1960.2306816549276
STX3,11,59311085,59321445,2400.297294958333,1954.6576976078632
RARG,12,51890619,51912303,1970.280790075,1954.5083934629324
PPP1R12B,1,200698493,200824320,2288.1918898150006,1952.7533819259222
HSPA5,9,127036952,127043430,2534.7544539416663,1952.750555199221
CDCA8,1,37930745,37947978,1933.3733226826082,1952.1169347133343
HEG1,3,126167243,126257492,3162.9485745,1951.2984513014972
SLC26A4,7,107088315,107145488,2014.0231708212123,1950.9956831849045
VN1R4,19,58461824,58462730,2528.1090851956524,1949.499740065512
ACVRL1,12,50592379,50603412,2249.30967340625,1948.858702436556
KBTBD3,11,105427034,105453396,2014.557416485714,1945.0153667135837
MT4,16,55156461,55160370,2013.0741684695654,1943.730896483901
GPR155,2,175004620,175060057,1976.87731384,1940.9593437874362
BST1,4,15326005,15349033,2070.0486006488886,1940.1729559885318
ME2,18,46659432,46728258,2715.658442853571,1940.0427006833456
TSC22D2,3,151609477,151660305,2328.61770435,1938.3233912850671
FGL1,8,17766179,17812154,1984.0802931780822,1938.1021419012914
BBS12,4,123882497,123884630,4036.7634952666663,1935.990878302888
GMEB1,1,28867830,28913974,2156.9280315470587,1934.0572706410514
MOCS2,5,52429651,52441355,2274.6104429750003,1933.5674069450577
ZNF227,19,49413783,49433261,1985.6638348529411,1929.3251071334428
PTPRA,20,2915410,2967315,2206.803440855,1929.1588071298215
MYLK,3,124953867,125033020,2074.309489815789,1928.929795957653
OGFRL1,6,72055197,72068951,1918.62211571875,1928.7317144261976
PLEKHA5,12,19366718,19420600,3329.6654775647057,1927.9495730422987
IL5RA,3,3108493,3127031,2262.745172195238,1923.3333963659522
FRY,13,31733752,31768776,2280.1628825733333,1922.8913683016617
GNG13,16,788041,790734,2020.5430018583331,1920.2709121093192
PNPLA7,9,139474225,139564807,2182.0523816,1918.2043918891643
MEP1A,6,46869052,46915478,3235.568644000001,1918.2006442608292
CYP4V2,4,187362441,187371611,2736.562499419048,1917.2159582522202
ARL5A,2,152365725,152393255,2057.072783152174,1916.7777660166596
SDAD1,4,77090091,77131137,4525.1260335937495,1916.7139571636155
SPRR3,1,151242120,151242630,2633.024205226316,1916.6946450664925
TUFT1,1,149779404,149822683,3812.9715118857152,1915.9561670368137
FAM71C,12,98565665,98567957,1824.6981685214284,1914.295716463725
IGFALS,16,1780419,1783710,2673.5654439,1913.0843617324851
ALG6,1,63609029,63675466,1982.4799923117646,1912.9622969212705
LNPEP,5,96319911,96390871,3677.717096006452,1912.9108116642653
OTP,5,76960292,76970278,3267.9237797142855,1912.5733496877326
GABPB1,15,48365368,48434687,2671.9442659393935,1910.5378267160559
ARRDC3,5,90700296,90714877,2452.2404822500002,1910.3504240895008
PPP2R5B,11,64449489,64458523,1980.3102625799997,1908.834542583837
MADD,11,47268736,47303162,1967.3364727249998,1908.6607347020251
GPR108,19,6680924,6688633,2160.0744098916666,1905.6087792650173
SPATA6,1,48635404,48710432,2279.7741849535714,1905.2307267034346
ANXA3,4,79691765,79750629,2239.4173488142856,1903.9461453545887
MAPKAPK3,3,50629935,50661723,1913.0545369000001,1902.70835025697
DPT,1,166931329,166965052,2236.165579951613,1900.740742958871
POLE,12,131729882,131774018,2789.276220825714,1899.811028379827
FKBP5,6,35802517,35812702,2625.7046256999997,1898.8612432256355
EPCAM,2,47449970,47467661,2383.2779199,1898.0841959573636
ERCC6,10,50334496,50417153,2774.392651875,1896.8144165195372
MAP3K13,3,186563663,186683322,2023.5302426685187,1894.7227283069954
VCAM1,1,100957884,100977189,2110.016838605,1894.349597412152
ZNF462,9,108741017,108777071,2555.5277131499997,1893.6098909179243
MSH3,5,79986049,80208390,2689.1478721797753,1891.1504750627153
LONP2,16,46835711,46944908,1841.5872303463414,1890.2013987519588
MCF2L,13,112746969,112789771,2508.0760153150004,1887.1432527928594
RFC1,4,38998397,39044390,2219.698371647059,1886.7436159000001
RPL18A,19,17831726,17835124,4540.4349176875,1885.6404720254773
PIGL,17,16061233,16170298,2112.129842812766,1885.55202875595
OXCT1,5,41765923,41906548,4175.648135486486,1883.6809129128335
KRT13,17,36912151,36915391,3598.859209263158,1882.376766592931
AHCTF1,1,245079539,245107006,2485.6872439454546,1882.256184602932
SPATS2,12,48140809,48207474,2161.681139414815,1880.528999369448
ELF5,11,34469719,34491906,2048.9942954,1879.3791929191214
MT1A,16,55230078,55231500,1929.140393627778,1879.0938877691087
RGS1,1,190811479,190815782,3481.817099420834,1877.7085658364474
FRS2,12,68150395,68259829,3810.3404197857135,1876.8258321229325
CDK2AP2,11,67030543,67032691,1809.8154945,1876.440029949277
RABGAP1,9,124743119,124792869,1891.9789522214282,1873.6196914283776
GIT2,12,108870249,108918483,3807.5730995611107,1873.1293519234289
CTDSPL2,15,42538480,42606721,2138.26349165,1872.6792809092642
ITGB7,12,51871373,51887267,2251.7494743714283,1872.2984651941663
TPD52L3,9,6318374,6321900,3431.63319395,1871.7286474961684
PGM2,4,37504736,37540953,2103.0193865200004,1870.8886494757446
ZNF211,19,62836395,62845948,1868.3202761954547,1868.9025620889888
ABCD2,12,38231288,38300110,2384.996241495833,1868.051409927824
SEC62,3,171167273,171198855,3420.434916678788,1865.1875801800431
NDRG1,8,134318600,134322952,1932.2926296741937,1864.5463814189648
POLR3E,16,22216241,22252844,2605.5329196000002,1863.8283379295256
ARFGEF2,20,46971681,47086637,2678.260137647059,1863.3298100301713
RIPK1,6,3021996,3060420,2327.022665,1860.5587748008084
MFSD1,3,160002605,160030198,2378.6280738535715,1856.8654441720319
TOP2B,3,25614478,25680835,2351.055765455172,1855.3101007980438
GUCA1A,6,42231151,42255772,1929.725713539394,1854.6711094238547
LTBR,12,6363617,6370993,3025.1294645,1853.2290097889177
HTR3B,11,113285164,113322493,1915.224033894737,1852.2106331707957
SLC18A3,10,50488352,50490772,2336.77782446875,1848.9091530042513
UBR7,14,92745914,92765314,3712.1159644833338,1845.0023066730578
KRAS,12,25278035,25295130,2755.6252389791666,1843.9538930347433
CISH,3,50618929,50624207,2415.2268954,1843.5455119338146
PPP1R13L,19,50589750,50601410,3558.9383763916667,1842.6614418443185
PHTF2,7,77376045,77407711,3422.021653421429,1840.4317892511717
MYH9,22,35051023,35091103,1872.0960642090909,1840.1297848740169
ZNF608,5,124010270,124112399,1828.0911437533334,1836.1011353840902
CHD1,5,98218807,98290138,3063.003449245162,1835.9366085280453
MRPS30,5,44845701,44847013,1759.4936207642857,1832.8749917541259
TPMT,6,18241115,18263353,1865.7960749499996,1831.8437135532024
ALDH3B1,11,67540166,67553319,2331.83669615,1828.783389218049
MT1G,16,55258153,55259478,3312.7746524166664,1824.5825563121357
IGFBPL1,9,38398990,38414444,3335.635580708108,1823.572176032572
RXRA,9,136438248,136472252,1728.4259560608698,1821.7712991312194
ACOX1,17,71449186,71487039,1873.1421226439998,1820.404907591377
AGPAT5,8,6553285,6606429,1906.7975493059996,1819.1489891382175
MRI1,19,13736336,13746096,1836.7585610045455,1818.6140271080078
ZNHIT6,1,85891078,85946689,1854.6909520413794,1818.0645262669466
HMGB1,13,29933105,29938081,2081.7239246,1817.8058249155479
PROK1,1,110795310,110801499,2057.9734192333335,1816.568464553967
RETSAT,2,85422732,85435166,1928.0684672166665,1814.7135762680518
PARP11,12,3788287,3852863,1993.430859747826,1814.2665893059807
PRDM1,6,106653507,106664507,1800.3593890578945,1813.5557391413774
FAM174A,5,99899022,99950339,3048.147761672001,1813.4422540582748
TIA1,2,70297309,70329283,2412.6957944375,1808.6970862115486
ELOVL4,6,80681247,80714034,2066.7810149535712,1808.310830867809
ISG20,15,86983042,86999883,2171.013664368421,1808.0682611764605
MRO,18,46575487,46605752,2285.4218279816328,1806.4166392494083
MYBPC3,11,47309532,47330829,1938.2080160238097,1802.4315582611327
SAA4,11,18209478,18214910,4689.691969733332,1800.463891423654
ADAM7,8,24389306,24440371,1922.3658693318182,1799.7562048196664
CHD8,14,20938277,20947987,2212.2928557363634,1798.1325472399196
TOP1MT,8,144471562,144488425,2315.1856418600005,1796.4610197577128
MYL2,12,109833006,109842787,2588.25541481,1794.3557328401537
HAS1,19,56908176,56919033,2393.2330214866665,1790.6186151009508
GPR171,3,152398903,152399863,4206.262017218181,1790.0649949723304
BRDT,1,92190296,92252573,2938.7200147825,1789.1913801841024
PSMD11,17,27795614,27832155,3264.948637022222,1788.3548631036224
ANKRD30A,10,37454790,37561501,2175.8356061619047,1787.2551234856317
LGMN,14,92239907,92284765,1953.8775077586206,1785.8959152744987
CLEC16A,16,11127336,11183539,2927.1580536956526,1780.2982327929335
